Id,Hazard
6,1.62272450647
7,2.46958206131
8,2.33557024434
9,1.67579539336
10,1.53548224712
11,1.87630074769
13,2.02248097499
14,1.61089768328
16,1.53780343694
17,1.4691492062
18,1.98757264162
20,1.7064952424
27,2.4815118402
28,1.84780065677
29,1.53103237043
30,1.65535649401
34,1.81501806806
35,1.87974988699
36,1.91450725685
37,1.55790162388
38,1.88976081691
40,1.63324630184
42,1.87933450753
46,1.76534177056
47,1.67896958015
48,2.0827587707
49,2.43249985733
51,1.93797306118
52,2.24079418403
53,1.25644276938
54,1.48481441776
55,1.14732520274
56,2.09778762167
57,1.50484687188
60,2.03837165558
61,1.54734203568
64,2.29109285811
65,2.0155443903
66,2.23089144611
68,2.34532873941
70,1.71162944086
71,1.45723293889
75,1.34778376166
76,1.94247797868
78,2.1325316959
80,1.66135334513
81,2.11836749886
82,1.91257033222
83,2.08987163716
85,1.46371388112
86,1.29172304957
87,1.64808002115
89,1.84289923404
90,1.76199492384
91,1.8879752421
92,1.97672833483
95,1.63736886025
97,2.18088240523
99,1.60577794092
101,1.84132462853
102,1.84364022347
103,1.66325577725
104,1.70290357443
107,1.98169809262
108,1.4829457618
111,1.46235872397
112,2.38484383028
115,2.09247812321
119,1.53037737098
121,1.61556985239
124,1.62939117227
128,1.98483702829
130,2.14226678073
131,2.15381060502
133,2.28522895616
134,1.96730164555
137,1.66588062821
138,1.83945343451
142,2.33611535921
143,2.14661319659
144,2.46642455318
145,1.96768489561
147,1.73214783403
148,1.97847737419
152,1.57764329777
154,2.94946527943
158,1.50499336696
159,1.65611093548
160,2.13586098875
161,1.94094611479
164,1.1904080929
165,1.57001951038
166,1.48413859133
167,1.50730003292
169,1.95380508677
170,2.11555589805
171,2.28333823599
175,1.45798039713
177,1.8309557459
178,2.0363065695
180,2.80660245584
182,1.87870398188
184,1.80021751737
185,2.06060420988
186,1.6431169657
190,1.84348112095
191,1.6323206879
192,1.40057821233
195,1.95057556365
196,2.16360741792
197,1.86522807721
198,1.74158891393
199,2.26554618373
200,1.84727892986
204,1.41363302401
205,1.9145596141
207,1.41857474312
208,1.4468490298
209,2.29258856644
211,2.15949109636
216,2.46318960865
217,1.29698864837
220,1.7559022356
223,2.12722102517
224,2.1362419866
230,1.66835099397
232,1.81121652571
235,1.60868739637
236,2.30733475174
238,1.6014249448
240,1.61284069754
242,2.01825645401
244,1.90729841785
245,1.7293153293
248,1.8771602322
251,1.69139815151
256,1.62952718637
258,2.55579184288
259,1.99327312006
261,2.09309764584
267,1.88769082376
268,1.59094059669
270,2.01779542188
272,2.30943372252
273,1.47111088025
275,1.33130044137
276,1.50666092479
277,1.672160773
279,1.66992222347
283,1.73284700814
284,1.85632678649
286,1.60188315197
287,1.87427938906
288,1.63823338136
289,2.23891090461
292,1.79389127784
293,2.05084573804
295,1.93453853568
297,1.76854468282
301,2.18636234501
303,1.49474830097
304,1.72664759391
305,1.55110347021
308,1.76027917258
309,1.82497379272
313,1.66742858507
314,2.13338184806
315,1.64493493639
316,1.86710081
318,1.77115844367
320,2.00901657529
324,1.75380418391
325,1.89218686189
326,1.53594773215
327,1.84017341607
328,2.42621393565
332,1.81580344712
333,2.60822000118
336,1.85257655383
339,1.72971057211
340,2.1282922185
342,1.89100790174
344,2.16379260874
345,1.7644092068
346,1.69232709974
349,2.0201330816
353,2.07921264299
355,1.89545133896
360,1.58000160082
363,1.67703479003
366,1.66921480242
367,1.78028512411
369,2.09216696087
371,2.07055588862
372,1.49514923929
374,1.48939384405
375,1.49402111349
378,1.60842237293
379,1.3395889874
381,1.87761894303
382,1.4546606441
384,1.76219982834
385,1.59960101781
387,1.94816928648
388,1.56157101425
389,1.84634268561
390,2.05718681101
393,2.04186416217
394,2.17824555699
395,1.77944488808
397,1.55508114753
398,2.14389045616
399,1.77148613721
403,1.87285083944
404,1.65650171231
406,1.51272516195
407,1.51501087872
410,1.14871255921
411,1.61626329513
412,1.38245220289
413,2.15370122021
417,1.78867725561
419,1.87573839512
422,2.04015602793
425,1.55361266822
426,1.80458642682
427,2.06394079485
432,1.70158429013
434,1.6899134976
437,1.65778796549
438,2.03494282365
440,2.27082902951
441,2.24637046823
443,1.1644786474
445,1.97840622877
447,1.58186935083
449,1.63350062562
450,1.89945658931
451,1.71101409435
453,2.00913775044
455,1.25846994908
